Year,Age,IRA_Start,Roth_Start,Expenses,Social_Security,Net_Expenses,Conversion_Amount,Conversion_Tax,IRA_Withdrawal,Brokerage_Withdrawal,Savings_Withdrawal,Roth_Withdrawal,Total_Taxes,IRA_End,Roth_End,Savings_End,Brokerage_End,Home_Equity,Net_Worth
2037,73,1631772.6267230825,1386522.081030245,83054.03224346676,36000,47054.03224346676,30000.0,6600.0,0.0,55357.684992313836,0.0,0,14903.652748847075,1601772.6267230825,1416522.081030245,0.0,1312727.225069423,1245810.4836520012,5576832.416474752
2038,74,1697878.9843264676,1501513.4058920597,85545.65321077076,36000,49545.65321077076,0.0,0.0,0.0,58289.003777377366,0.0,0,8743.350566606605,1697878.9843264676,1501513.4058920597,0.0,1333201.854796211,1283184.7981615614,5815779.0431763
2039,75,1799751.7233860558,1591604.2102455834,88112.02280709389,36000,52112.02280709389,0.0,0.0,0.0,61308.26212599281,0.0,0,9196.23931889892,1799751.7233860558,1591604.2102455834,0.0,1351885.7039579907,1321680.3421064084,6064921.979696038
2040,76,1907736.8267892192,1687100.4628603186,90755.38349130671,36000,54755.38349130671,0.0,0.0,0.0,64418.09822506672,0.0,0,9662.714733760007,1907736.8267892192,1687100.4628603186,0.0,1368580.7479704036,1361330.7523696008,6324748.789989542
2041,77,2022201.0363965724,1788326.4906319377,93478.04499604591,36000,57478.04499604591,0.0,0.0,0.0,67621.22940711284,0.0,0,10143.184411066926,2022201.0363965724,1788326.4906319377,0.0,1383074.363441515,1402170.6749406885,6595772.565410714
2042,78,2143533.098580367,1895626.0800698542,96282.3863459273,36000,60282.3863459273,0.0,0.0,0.0,70920.45452462035,0.0,0,10638.068178693053,2143533.098580367,1895626.0800698542,0.0,1395138.3707233856,1444235.7951889094,6878533.344562516
2043,79,2272145.084495189,2009363.6448740454,99170.85793630511,36000,63170.85793630511,0.0,0.0,0.0,74318.65639565307,0.0,0,11147.798459347961,2272145.084495189,2009363.6448740454,0.0,1404528.0165711357,1487562.8690445765,7173599.614984947
2044,80,2408473.7895649006,2129925.463566488,102145.98367439427,36000,66145.98367439427,0.0,0.0,0.0,77818.8043228168,0.0,0,11672.82064842252,2408473.7895649006,2129925.463566488,0.0,1410980.893242587,1532189.7551159142,7481569.90148989
2045,81,2552982.2169387946,2257720.9913804773,105210.3631846261,36000,69210.3631846261,0.0,0.0,0.0,81423.9566877954,0.0,0,12213.59350316931,2552982.2169387946,2257720.9913804773,0.0,1414215.790149347,1578155.4477693914,7803074.44623801
2046,82,2706161.1499551223,2393184.250863306,108366.67408016488,36000,72366.67408016488,0.0,0.0,0.0,85137.2636237234,0.0,0,12770.58954355851,2706161.1499551223,2393184.250863306,0.0,1413931.4739345845,1625500.1112024733,8138776.985955486
2047,83,2868530.8189524296,2536775.3059151047,111617.67430256984,36000,75617.67430256984,0.0,0.0,0.0,88961.96976772923,0.0,0,13344.295465159385,2868530.8189524296,2536775.3059151047,0.0,1409805.3926029303,1674265.1145385476,8489376.63200901
2048,84,3040642.6680895756,2688981.824270011,114966.20453164693,36000,78966.20453164693,0.0,0.0,0.0,92901.41709605521,0.0,0,13935.212564408283,3040642.6680895756,2688981.824270011,0.0,1401492.2990630511,1724493.067974704,8855609.85939734
2049,85,3223081.2281749505,2850320.733726212,118415.19066759634,36000,82415.19066759634,0.0,0.0,0.0,96959.047844231,0.0,0,14543.857176634649,3223081.2281749505,2850320.733726212,0.0,1388622.7891626034,1776227.8600139453,9238252.611077711
